Date,SP500,ARKK,BABA,PTON,GM,TACO,AUY,AA,NIO,PFE,XOM,ZNGA
2019-09-27 16:00:00,0.0,-0.00998374738797303,-0.051542857142857224,-0.02018633540372683,-0.00505184791278912,0.007843137254901933,-0.029585798816568087,-0.018103858980466847,-0.1071428571428571,0.012094395280236148,0.0071861349866142454,-0.026666666666666727
2019-10-01 16:00:00,0.0,-0.02308230356726515,-0.01243795969622663,-0.10318725099601589,-0.036552828175026586,-0.01270772238514184,0.028301886792452713,-0.010463378176382654,-0.15384615384615385,-0.014101057579318343,-0.0235094179294717,-0.0068728522336769515
2019-10-02 16:00:00,0.0,-0.015035799522672977,0.0037541628822284068,0.003998223011994595,-0.039601218499030755,-0.025742574257425765,0.024464831804281273,-0.028197381671701827,0.20454545454545459,-0.02056019070321824,-0.026105873821609782,-0.00865051903114189
2019-10-08 16:00:00,-0.05128205128205132,-0.03354746609564607,-0.037963403041824995,-0.012760527435134006,-0.02503597122302148,-0.0010266940451745254,0.035502958579881616,-0.03948051948051956,0.09677419354838701,-0.01119622863877412,-0.019406057042046343,-0.005008347245409106
2019-10-09 16:00:00,0.0,0.014032496307237796,0.0201321558698202,0.034037052994398964,0.007674144037780328,-0.01952723535457357,-0.017142857142857126,-0.004326663061114067,-0.03529411764705881,0.0074493444576877454,0.011094452773613206,0.028523489932885893
2019-10-10 16:00:00,-0.027027027027027084,0.002184996358339575,0.0053271989829892785,-0.03583333333333327,0.015231400117164506,0.0062893081761006275,-0.005813953488372103,0.015209125475285301,-0.06707317073170727,0.0029577048210587265,0.012010676156583688,-0.004893964110929905
2019-10-11 16:00:00,0.0,0.015746124031007724,0.04136809779008854,-0.03241140881590321,0.026255049047893886,-0.0010416666666666075,-0.04385964912280704,0.03156768325307646,0.019607843137254832,0.008846947803007987,0.010695970695970836,0.006557377049180246
2019-10-16 16:00:00,0.0277777777777779,-0.008111239860950192,0.01043984254663699,-0.017910447761193993,0.0107556536127964,0.004255319148936065,0.018749999999999822,-0.01541623843782125,-0.058064516129032295,-0.00433776749566217,-0.017142033995966588,0.001615508885298933
2019-10-17 16:00:00,-0.027027027027027084,0.0018691588785046953,-0.0015243902439024959,0.03603994789405118,-0.012551159618008234,0.009533898305084776,0.030674846625766916,0.05949895615866385,0.0,0.0031948881789136685,-0.0013190678587132743,0.006451612903225712
2019-10-18 16:00:00,0.0,-0.022154850746268773,-0.04365281311846192,-0.014249790444258115,-0.0005526388505110447,-0.01364113326337868,0.0029761904761904656,0.06108374384236437,0.041095890410958846,0.0,-0.0077781039037276845,-0.0016025641025640969
2019-10-21 16:00:00,0.0,0.011447650846649005,0.025956364926388087,-0.05357142857142849,-0.006635333149018541,0.029787234042553123,-0.03857566765578635,-0.049675023212627734,0.11184210526315774,0.0,0.01671350391953852,0.009630818619582593
2019-10-23 16:00:00,0.11111111111111116,-0.004054376341521615,0.0001765848490200561,-0.003780718336483968,0.008262186725420007,0.02124999999999999,0.00920245398773023,0.026531596719729933,-0.03164556962025322,0.009272674587076146,0.009552757273121992,-0.00815660685154973
2019-10-28 16:00:00,0.0,0.025735294117646967,0.025070277092536397,-0.041964285714285565,-0.0027218290691345404,-0.02146464646464641,-0.03561643835616435,0.0237868696479544,-0.019867549668874163,0.014068331897789221,-0.008808664259927768,0.0
2019-11-06 16:00:00,0.25,-0.0037453183520599342,0.01186813186813196,0.012313104661389573,0.004969918911849502,0.02204928664072625,0.014619883040935644,-0.030544488711819473,-0.13247863247863256,0.003379329766263206,-0.02189081953755656,-0.0015873015873015817
2019-11-07 16:00:00,-0.07999999999999996,0.0,0.013575152041702898,0.0,0.0018219677251432032,-0.011421319796954266,-0.057636887608069176,0.0,0.019704433497536922,-0.009542520348021388,0.0212617149251646,0.0
2019-11-08 16:00:00,-0.021739130434782594,0.013931888544891802,0.0026786670952534397,0.021720243266724504,0.004676539360872978,-0.0038510911424903815,0.0,0.028767123287671392,-0.04347826086956519,-0.005383961462170572,-0.03068072866730598,-0.0015898251192368873
2019-11-11 16:00:00,-0.022222222222222254,0.010250817884405627,-0.002404359905962772,0.022108843537415046,0.0012929919834496761,-0.002577319587628857,-0.006116207951070374,-0.01375943186861972,-0.06060606060606055,-0.0031339031339031598,-0.006076020912816116,0.004777070063694211
2019-11-12 16:00:00,0.0,0.007124352331606243,0.0013925338760645278,0.02703826955074895,-0.0033574380165287687,0.021963824289405576,0.027692307692307683,-0.0018001800180017513,0.043010752688172005,0.0008573878250928146,-0.013790162069945988,0.004754358161648264
2019-11-14 16:00:00,-0.022727272727272707,0.00409747681690753,0.0017536168347216385,-0.0019245573518090753,-0.010486689970422125,-0.0012870012870012104,0.017595307917888547,-0.010838831291234752,-0.07894736842105254,-0.0011537352177675153,-0.0043604651162790775,0.0031695721077655836
2019-11-19 16:00:00,-0.04651162790697683,0.022151898734177333,0.003466767780726965,-0.03338842975206613,-0.006553795740032675,-0.03014416775884665,0.008571428571428452,-0.009152215799614671,0.016666666666666607,0.011911514463981865,-0.010215995329830752,0.006389776357827559
2019-11-20 16:00:00,0.0,-0.00041279669762650517,-0.015654520917678827,-0.004787961696306353,-0.030236393622869784,-0.006756756756756799,0.0056657223796034994,-0.00972289742343213,0.005464480874316946,-0.016255605381165883,0.0030964317310528955,-0.01111111111111096
2019-11-21 16:00:00,0.07317073170731714,-0.0057815403675407495,0.013764738140937816,0.02405498281786933,-0.01729024943310653,-0.006802721088435382,-0.016901408450704092,-0.01080019636720675,0.07608695652173902,0.01851851851851838,0.024107011612523932,-0.022471910112359605
