Date,Close
5/24/2018 16:00:00,51.21
5/25/2018 16:00:00,52.86
5/29/2018 16:00:00,51.49
5/30/2018 16:00:00,51.33
5/31/2018 16:00:00,51.08
6/1/2018 16:00:00,50.96
6/4/2018 16:00:00,51.65
6/5/2018 16:00:00,50.9
6/6/2018 16:00:00,50.75
6/7/2018 16:00:00,50.64
6/8/2018 16:00:00,50.48
6/11/2018 16:00:00,50.98
6/12/2018 16:00:00,50.97
6/13/2018 16:00:00,51.35
6/14/2018 16:00:00,51.94
6/15/2018 16:00:00,52.18
6/18/2018 16:00:00,52.37
6/19/2018 16:00:00,51.71
6/20/2018 16:00:00,52
6/21/2018 16:00:00,53.15
6/22/2018 16:00:00,51.91
6/25/2018 16:00:00,51.28
6/26/2018 16:00:00,51.17
6/27/2018 16:00:00,50.37
6/28/2018 16:00:00,50.7
6/29/2018 16:00:00,50.88
7/2/2018 16:00:00,51.54
7/3/2018 13:00:00,51.52
7/5/2018 16:00:00,51.86
7/6/2018 16:00:00,52.74
7/9/2018 16:00:00,53.26
7/10/2018 16:00:00,53
7/11/2018 16:00:00,52.53
7/12/2018 16:00:00,52.77
7/13/2018 16:00:00,53.09
7/16/2018 16:00:00,53.08
7/17/2018 16:00:00,53.22
7/18/2018 16:00:00,53.9
7/19/2018 16:00:00,53.78
7/20/2018 16:00:00,53.43
7/23/2018 16:00:00,53.56
7/24/2018 16:00:00,51.91
7/25/2018 16:00:00,52.29
7/26/2018 16:00:00,56.7
7/27/2018 16:00:00,58.38
7/30/2018 16:00:00,57.9
7/31/2018 16:00:00,58.16
8/1/2018 16:00:00,56.52
8/2/2018 16:00:00,56.69
8/3/2018 16:00:00,57.41
8/6/2018 16:00:00,57.79
8/7/2018 16:00:00,58.09
8/8/2018 16:00:00,58.82
8/9/2018 16:00:00,58.99
8/10/2018 16:00:00,58.99
8/13/2018 16:00:00,58.84
8/14/2018 16:00:00,59.09
8/15/2018 16:00:00,60.33
8/16/2018 16:00:00,59.52
8/17/2018 16:00:00,59.68
8/20/2018 16:00:00,61.63
8/21/2018 16:00:00,61
8/22/2018 16:00:00,60.61
8/23/2018 16:00:00,61.01
8/24/2018 16:00:00,60.99
8/27/2018 16:00:00,60.91
8/28/2018 16:00:00,61.33
8/29/2018 16:00:00,61.22
8/30/2018 16:00:00,60.82
8/31/2018 16:00:00,61.3
9/4/2018 16:00:00,61.99
9/5/2018 16:00:00,61.4
9/6/2018 16:00:00,61.03
9/7/2018 16:00:00,61.9
9/10/2018 16:00:00,62.51
9/11/2018 16:00:00,62.98
9/12/2018 16:00:00,61.37
9/13/2018 16:00:00,62.36
