Date,Close
5/24/2018 16:00:00,45.94
5/25/2018 16:00:00,46.15
5/29/2018 16:00:00,46.23
5/30/2018 16:00:00,46.53
5/31/2018 16:00:00,45.66
6/1/2018 16:00:00,46.61
6/4/2018 16:00:00,46.89
6/5/2018 16:00:00,47.53
6/6/2018 16:00:00,48.91
6/7/2018 16:00:00,48.44
6/8/2018 16:00:00,49.11
6/11/2018 16:00:00,49.61
6/12/2018 16:00:00,49.7
6/13/2018 16:00:00,48.46
6/14/2018 16:00:00,49.02
6/15/2018 16:00:00,49.42
6/18/2018 16:00:00,49.51
6/19/2018 16:00:00,50.22
6/20/2018 16:00:00,51.06
6/21/2018 16:00:00,50.48
6/22/2018 16:00:00,50.18
6/25/2018 16:00:00,49.82
6/26/2018 16:00:00,49.95
6/27/2018 16:00:00,48.98
6/28/2018 16:00:00,49.14
6/29/2018 16:00:00,48.58
7/2/2018 16:00:00,48.39
7/3/2018 13:00:00,48.27
7/5/2018 16:00:00,48.96
7/6/2018 16:00:00,49.73
7/9/2018 16:00:00,50.48
7/10/2018 16:00:00,48.38
7/11/2018 16:00:00,47.75
7/12/2018 16:00:00,47.71
7/13/2018 16:00:00,48.85
7/16/2018 16:00:00,49.17
7/17/2018 16:00:00,49.64
7/18/2018 16:00:00,48.94
7/19/2018 16:00:00,49.36
7/20/2018 16:00:00,48.59
7/23/2018 16:00:00,48.89
7/24/2018 16:00:00,48.18
7/25/2018 16:00:00,46.28
7/26/2018 16:00:00,45.86
7/27/2018 16:00:00,45.94
7/30/2018 16:00:00,47.61
7/31/2018 16:00:00,48.53
8/1/2018 16:00:00,47.26
8/2/2018 16:00:00,46.33
8/3/2018 16:00:00,47.26
8/6/2018 16:00:00,47.8
8/7/2018 16:00:00,48.35
8/8/2018 16:00:00,47.7
8/9/2018 16:00:00,47.05
8/10/2018 16:00:00,46.31
8/13/2018 16:00:00,45.8
8/14/2018 16:00:00,46
8/15/2018 16:00:00,46
8/16/2018 16:00:00,46.03
8/17/2018 16:00:00,46.38
8/20/2018 16:00:00,46.83
8/21/2018 16:00:00,47.59
8/22/2018 16:00:00,47.02
8/23/2018 16:00:00,46.38
8/24/2018 16:00:00,45.66
8/27/2018 16:00:00,46.2
8/28/2018 16:00:00,46.42
8/29/2018 16:00:00,45.95
8/30/2018 16:00:00,45.46
8/31/2018 16:00:00,45.35
9/4/2018 16:00:00,44.91
9/5/2018 16:00:00,44.72
9/6/2018 16:00:00,43.69
9/7/2018 16:00:00,43.53
9/10/2018 16:00:00,44.19
9/11/2018 16:00:00,43.83
9/12/2018 16:00:00,43.77
9/13/2018 16:00:00,43.81
9/14/2018 16:00:00,44.9
9/17/2018 16:00:00,43.53
