Date,Close
4/12/2019 16:00:00,25.46
4/15/2019 16:00:00,31.91
4/16/2019 16:00:00,43.04
4/17/2019 16:00:00,40.07
4/18/2019 16:00:00,35.15
4/22/2019 16:00:00,33.37
4/23/2019 16:00:00,36.01
4/24/2019 16:00:00,37.17
4/25/2019 16:00:00,35.9
4/26/2019 16:00:00,40.21
4/29/2019 16:00:00,45.26
4/30/2019 16:00:00,42.97
5/1/2019 16:00:00,46.99
5/2/2019 16:00:00,40.77
5/3/2019 16:00:00,38.86
5/6/2019 16:00:00,37.72
5/7/2019 16:00:00,35.8
5/8/2019 16:00:00,33.11
5/9/2019 16:00:00,26.89
5/10/2019 16:00:00,24.5
5/13/2019 16:00:00,26.6
5/14/2019 16:00:00,25.6
5/15/2019 16:00:00,23.44
5/16/2019 16:00:00,21.23
5/17/2019 16:00:00,19.92
5/20/2019 16:00:00,20.44
5/21/2019 16:00:00,23.29
5/22/2019 16:00:00,22.35
5/23/2019 16:00:00,22.49
5/24/2019 16:00:00,23.4
5/28/2019 16:00:00,23.06
5/29/2019 16:00:00,24.39
5/30/2019 16:00:00,25.33
5/31/2019 16:00:00,26.62
6/3/2019 16:00:00,25.81
6/4/2019 16:00:00,26.54
6/5/2019 16:00:00,26.36
6/6/2019 16:00:00,25.93
6/7/2019 16:00:00,24.64
6/10/2019 16:00:00,23.45
6/11/2019 16:00:00,22.58
6/12/2019 16:00:00,24.75
6/13/2019 16:00:00,23.89
6/14/2019 16:00:00,24.23
6/17/2019 16:00:00,23.33
6/18/2019 16:00:00,23.13
6/19/2019 16:00:00,23.08
6/20/2019 16:00:00,24.04
6/21/2019 16:00:00,25.62
6/24/2019 16:00:00,25.53
6/25/2019 16:00:00,25.65
6/26/2019 16:00:00,26.12
6/27/2019 16:00:00,26.27
6/28/2019 16:00:00,26.42
7/1/2019 16:00:00,26
7/2/2019 16:00:00,25.14
7/3/2019 13:00:00,24.85
7/5/2019 16:00:00,26.07
7/8/2019 16:00:00,25.98
7/9/2019 16:00:00,27.16
7/10/2019 16:00:00,26.33
7/11/2019 16:00:00,24.87
7/12/2019 16:00:00,24.54
7/15/2019 16:00:00,23.85
7/16/2019 16:00:00,23.07
7/17/2019 16:00:00,22.72
7/18/2019 16:00:00,22.1
7/19/2019 16:00:00,22.72
7/22/2019 16:00:00,21.58
7/23/2019 16:00:00,21.15
7/24/2019 16:00:00,21.38
7/25/2019 16:00:00,20.08
7/26/2019 16:00:00,19.66
7/29/2019 16:00:00,19.05
7/30/2019 16:00:00,17.83
7/31/2019 16:00:00,17.02
8/1/2019 16:00:00,16.25
8/2/2019 16:00:00,15.66
8/5/2019 16:00:00,14.57
8/6/2019 16:00:00,13.81
8/7/2019 16:00:00,13.46
8/8/2019 16:00:00,13.25
8/9/2019 16:00:00,12.35
8/12/2019 16:00:00,11.48
8/13/2019 16:00:00,13.13
8/14/2019 16:00:00,12.8
8/15/2019 16:00:00,13.27
8/16/2019 16:00:00,13.07
8/19/2019 16:00:00,15.41
8/20/2019 16:00:00,14.75
8/21/2019 16:00:00,12.27
8/22/2019 16:00:00,13.31
8/23/2019 16:00:00,12.77
8/26/2019 16:00:00,11.83
8/27/2019 16:00:00,11.06
8/28/2019 16:00:00,10.53
8/29/2019 16:00:00,10.8
8/30/2019 16:00:00,11.15
9/3/2019 16:00:00,10.05
9/4/2019 16:00:00,11.31
9/5/2019 16:00:00,10.9
9/6/2019 16:00:00,11.05
9/9/2019 16:00:00,10.77
9/10/2019 16:00:00,10.88
9/11/2019 16:00:00,10.75
9/12/2019 16:00:00,10.93
9/13/2019 16:00:00,11.11
9/16/2019 16:00:00,11.04
9/17/2019 16:00:00,10.86
9/18/2019 16:00:00,10.94
9/19/2019 16:00:00,10.55
9/20/2019 16:00:00,10.38
9/23/2019 16:00:00,9.43
9/24/2019 16:00:00,8.53
9/25/2019 16:00:00,7.95
9/26/2019 16:00:00,8.05
9/27/2019 16:00:00,8.23
9/30/2019 16:00:00,7.93
10/1/2019 16:00:00,7.39
10/2/2019 16:00:00,7.58
10/3/2019 16:00:00,7.94
10/4/2019 16:00:00,8.07
10/7/2019 16:00:00,8.36
10/8/2019 16:00:00,7.54
10/9/2019 16:00:00,7.54
10/10/2019 16:00:00,7.19
10/11/2019 16:00:00,6.68
10/14/2019 16:00:00,6.2
10/15/2019 16:00:00,6.78
10/16/2019 16:00:00,7.24
10/17/2019 16:00:00,7.98
10/18/2019 16:00:00,7.02
10/21/2019 16:00:00,7.22
10/22/2019 16:00:00,6.74
10/23/2019 16:00:00,6.89
10/24/2019 16:00:00,6.87
10/25/2019 16:00:00,6.8
10/28/2019 16:00:00,6.52
10/29/2019 16:00:00,6.46
10/30/2019 16:00:00,6.51
10/31/2019 16:00:00,6.45
11/1/2019 16:00:00,6.32
11/4/2019 16:00:00,6.48
11/5/2019 16:00:00,6.3
11/6/2019 16:00:00,6.21
11/7/2019 16:00:00,6.19
11/8/2019 16:00:00,6.26
11/11/2019 16:00:00,6.66
11/12/2019 16:00:00,5.84
11/13/2019 16:00:00,6.09
11/14/2019 16:00:00,5.32
11/15/2019 16:00:00,5.49
11/18/2019 16:00:00,5.28
11/19/2019 16:00:00,5.28
11/20/2019 16:00:00,5.48
11/21/2019 16:00:00,5.52
11/22/2019 16:00:00,5.81
11/25/2019 16:00:00,5.59
11/26/2019 16:00:00,5.93
11/27/2019 16:00:00,6.3
11/29/2019 13:00:00,6.26
12/2/2019 16:00:00,6.07
12/3/2019 16:00:00,6
12/4/2019 16:00:00,6.07
12/5/2019 16:00:00,5.75
12/6/2019 16:00:00,5.85
12/9/2019 16:00:00,5.58
12/10/2019 16:00:00,5.53
12/11/2019 16:00:00,5.43
12/12/2019 16:00:00,5.46
12/13/2019 16:00:00,5.38
12/16/2019 16:00:00,5.44
12/17/2019 16:00:00,5.75
12/18/2019 16:00:00,5.48
12/19/2019 16:00:00,5.66
12/20/2019 16:00:00,5.44
12/23/2019 16:00:00,5.49
12/24/2019 13:00:00,5.5
12/26/2019 16:00:00,5.78
12/27/2019 16:00:00,6.13
12/30/2019 16:00:00,6.25
12/31/2019 16:00:00,6.73
1/2/2020 16:00:00,6.6
1/3/2020 16:00:00,6.51
1/6/2020 16:00:00,6.4
1/7/2020 16:00:00,6.31
1/8/2020 16:00:00,6.25
