Date,Close
9/18/2020 16:00:00,29
9/21/2020 16:00:00,28.83
9/22/2020 16:00:00,38.39
9/23/2020 16:00:00,36.75
9/24/2020 16:00:00,39.94
9/25/2020 16:00:00,43.17
9/28/2020 16:00:00,37
9/29/2020 16:00:00,35.61
9/30/2020 16:00:00,34.9
10/1/2020 16:00:00,33.8
10/2/2020 16:00:00,36.82
10/5/2020 16:00:00,40.1
10/6/2020 16:00:00,39.6
10/7/2020 16:00:00,42.45
10/8/2020 16:00:00,38.1
10/9/2020 16:00:00,34.61
10/12/2020 16:00:00,35.16
10/13/2020 16:00:00,38.82
10/14/2020 16:00:00,38.65
10/15/2020 16:00:00,37.96
10/16/2020 16:00:00,38.83
10/19/2020 16:00:00,36.83
10/20/2020 16:00:00,37.93
10/21/2020 16:00:00,35.17
10/22/2020 16:00:00,34.2
10/23/2020 16:00:00,38.39
10/26/2020 16:00:00,35.7
10/27/2020 16:00:00,35.62
10/28/2020 16:00:00,32.81
10/29/2020 16:00:00,33.13
10/30/2020 16:00:00,32
11/2/2020 16:00:00,32.58
11/3/2020 16:00:00,32.99
11/4/2020 16:00:00,35.94
11/5/2020 16:00:00,39.85
11/6/2020 16:00:00,38.71
11/9/2020 16:00:00,37.11
11/10/2020 16:00:00,35.31
11/11/2020 16:00:00,35.8
11/12/2020 16:00:00,34.81
11/13/2020 16:00:00,35.73
11/16/2020 16:00:00,35.99
11/17/2020 16:00:00,36.31
11/18/2020 16:00:00,34.29
11/19/2020 16:00:00,33.94
11/20/2020 16:00:00,33.83
11/23/2020 16:00:00,35.73
11/24/2020 16:00:00,37.3
11/25/2020 16:00:00,40.83
11/27/2020 13:00:00,47.45
11/30/2020 16:00:00,49.84
12/1/2020 16:00:00,44.61
12/2/2020 16:00:00,48.08
12/3/2020 16:00:00,53.47
12/4/2020 16:00:00,49
12/7/2020 16:00:00,54.83
12/8/2020 16:00:00,54.78
12/9/2020 16:00:00,55.55
12/10/2020 16:00:00,54.3
12/11/2020 16:00:00,57.85
12/14/2020 16:00:00,55.16
12/15/2020 16:00:00,55.45
12/16/2020 16:00:00,56.69
12/17/2020 16:00:00,56.95
12/18/2020 16:00:00,56.99
12/21/2020 16:00:00,55.47
12/22/2020 16:00:00,55.11
12/23/2020 16:00:00,59.2
12/24/2020 13:00:00,55.03
12/28/2020 16:00:00,52.5
12/29/2020 16:00:00,51.29
12/30/2020 16:00:00,48.48
12/31/2020 16:00:00,47.64
1/4/2021 16:00:00,43.6
1/5/2021 16:00:00,44.22
1/6/2021 16:00:00,46.85
1/7/2021 16:00:00,46.65
1/8/2021 16:00:00,45.21
1/11/2021 16:00:00,44.16
1/12/2021 16:00:00,42.09
1/13/2021 16:00:00,42
1/14/2021 16:00:00,42.83
1/15/2021 16:00:00,42.5
1/19/2021 16:00:00,45.33
1/20/2021 16:00:00,44.82
1/21/2021 16:00:00,44.93
1/22/2021 16:00:00,48.32
1/25/2021 16:00:00,44.96
1/26/2021 16:00:00,44.5
1/27/2021 16:00:00,43.56
1/28/2021 16:00:00,43.97
1/29/2021 16:00:00,43.83
2/1/2021 16:00:00,42.5
2/2/2021 16:00:00,42.76
2/3/2021 16:00:00,45.64
2/4/2021 16:00:00,46.18
2/5/2021 16:00:00,45.25
2/8/2021 16:00:00,45.8
2/9/2021 16:00:00,44.72
2/10/2021 16:00:00,44.68
2/11/2021 16:00:00,49.98
2/12/2021 16:00:00,48.75
2/16/2021 16:00:00,47.66
2/17/2021 16:00:00,49.91
2/18/2021 16:00:00,47.97
2/19/2021 16:00:00,53.12
2/22/2021 16:00:00,57.5
2/23/2021 16:00:00,51.43
2/24/2021 16:00:00,50.11
2/25/2021 16:00:00,48.21
2/26/2021 16:00:00,45.12
3/1/2021 16:00:00,49.86
3/2/2021 16:00:00,47.82
3/3/2021 16:00:00,45.59
3/4/2021 16:00:00,39.61
3/5/2021 16:00:00,41.08
3/8/2021 16:00:00,39.51
3/9/2021 16:00:00,44.25
3/10/2021 16:00:00,39.02
3/11/2021 16:00:00,40.92
3/12/2021 16:00:00,41.3
3/15/2021 16:00:00,42.36
3/16/2021 16:00:00,41.68
3/17/2021 16:00:00,42.76
3/18/2021 16:00:00,39.81
3/19/2021 16:00:00,39.25
3/22/2021 16:00:00,38.44
3/23/2021 16:00:00,36.76
3/24/2021 16:00:00,35.5
3/25/2021 16:00:00,35.8
3/26/2021 16:00:00,34.75
3/29/2021 16:00:00,35
3/30/2021 16:00:00,35.3
3/31/2021 16:00:00,36.82
4/1/2021 16:00:00,37.5
4/5/2021 16:00:00,37.44
4/6/2021 16:00:00,36.35
4/7/2021 16:00:00,37
4/8/2021 16:00:00,37.16
4/9/2021 16:00:00,35.8
4/12/2021 16:00:00,38.19
4/13/2021 16:00:00,36.37
4/14/2021 16:00:00,35.95
4/15/2021 16:00:00,34.03
4/16/2021 16:00:00,34.35
4/19/2021 16:00:00,34.34
4/20/2021 16:00:00,32.29
4/21/2021 16:00:00,33.59
4/22/2021 16:00:00,34.22
4/23/2021 16:00:00,35.3
4/26/2021 16:00:00,37.4
4/27/2021 16:00:00,39
4/28/2021 16:00:00,35.92
4/29/2021 16:00:00,38.96
4/30/2021 16:00:00,36.29
5/3/2021 16:00:00,36.2
5/4/2021 16:00:00,34.78
5/5/2021 16:00:00,34.85
5/6/2021 16:00:00,34.66
5/7/2021 16:00:00,34.07
5/10/2021 16:00:00,35.77
5/11/2021 16:00:00,35.58
5/12/2021 16:00:00,35
5/13/2021 16:00:00,32.79
5/14/2021 16:00:00,34.39
5/17/2021 16:00:00,34.5
5/18/2021 16:00:00,36
5/19/2021 16:00:00,34.92
5/20/2021 16:00:00,36.2
5/21/2021 16:00:00,35.92
